,index,feature,importance,importance_normalized,cumulative_importance
0,0,object_id,1304618.8775545158,0.3721539697757903,0.3721539697757903
1,385,"('supply_flow', 'sum', 'pre_rinse')",90650.84099699174,0.025858946946852465,0.3980129167226428
2,298,"('return_turbidity', 'min_500')",80158.71698418341,0.02286597660898201,0.42087889333162476
3,7,"('supply_flow', 'median_10')",67036.5945889102,0.019122776180640313,0.44000166951226505
4,1,pipeline,58920.02563525383,0.01680745374507642,0.45680912325734147
5,1198,combination_cat,39394.81546296653,0.011237716405429714,0.46804683966277116
6,377,"('supply_flow', 'mean', 'pre_rinse')",37771.60169981156,0.010774680452059817,0.478821520114831
7,993,"('supply_flow_*_supply_pressure', 'sum', 'pre_rinse')",35586.637292712425,0.010151400203773841,0.48897292031860484
8,117,"('return_turbidity', 'max_50')",29467.866261311625,0.00840596713618452,0.49737888745478936
9,27,"('return_turbidity', 'max_10')",29295.734700081724,0.00835686509961466,0.5057357525544041
10,1137,"('conductivity_*_return_turbidity', 'min', 'pre_rinse')",23515.50884234799,0.0067080050101542485,0.5124437575645583
11,26,"('return_turbidity', 'mean_10')",22028.51103165948,0.006283825851154984,0.5187275834157132
12,495,"('return_turbidity', 'min', 'caustic')",21526.045592424205,0.006140493180515524,0.5248680765962288
13,513,"('return_turbidity', 'sum', 'pre_rinse')",20173.764304,0.005754743090279259,0.530622819686508
14,417,"('supply_pressure', 'sum', 'pre_rinse')",16728.659581368647,0.00477199677188789,0.5353948164583959
15,118,"('return_turbidity', 'min_50')",16539.940007405883,0.004718162859292444,0.5401129793176884
16,369,"('supply_flow', 'min', 'pre_rinse')",16428.050291441898,0.004686245337103025,0.5447992246547915
17,544,"('return_flow', 'sum', 'intermediate_rinse')",16244.026320586647,0.004633750886450846,0.5494329755412423
18,389,"('supply_flow', 'median', 'pre_rinse')",15816.633973224716,0.004511833473282118,0.5539448090145244
19,116,"('return_turbidity', 'mean_50')",14683.226314366175,0.004188519004301605,0.558133328018826
20,97,"('supply_flow', 'median_50')",14609.992387455142,0.004167628384756609,0.5623009564035826
21,497,"('return_turbidity', 'min', 'pre_rinse')",14525.3119732812,0.004143472554391681,0.5664444289579742
22,997,"('supply_flow_*_supply_pressure', 'median', 'pre_rinse')",13668.254785523004,0.003898989479497833,0.570343418437472
23,1061,"('supply_flow_*_return_turbidity', 'median', 'pre_rinse')",13344.721559661552,0.003806698791059841,0.5741501172285319
24,207,"('return_turbidity', 'max_200')",12550.228137173925,0.0035800625785793352,0.5777301798071113
25,130,"('tank_level_pre_rinse', 'min_50')",12417.606245169434,0.0035422310214573323,0.5812724108285686
26,1057,"('supply_flow_*_return_turbidity', 'sum', 'pre_rinse')",12370.159177829084,0.003528696329626083,0.5848011071581947
27,869,"('return_flow__return_turbidity', 'median', 'pre_rinse')",11350.903668791017,0.003237944761922733,0.5880390519201174
28,1169,"('return_temperature_*_return_turbidity', 'min', 'pre_rinse')",11304.523909265103,0.003224714529000479,0.5912637664491179
29,917,"('return_flow__return_temperature', 'max', 'pre_rinse')",10736.726838339706,0.003062745437791217,0.5943265118869091
30,300,"('return_turbidity', 'sum_500')",10252.303442232142,0.002924559418092014,0.5972510713050011
31,183,"('supply_flow', 'max_200')",10169.951795176872,0.002901067888959275,0.6001521391939604
32,928,"('return_flow__return_temperature', 'sum', 'intermediate_rinse')",9846.76745888184,0.002808876724328113,0.6029610159182885
33,465,"('conductivity', 'min', 'pre_rinse')",9728.821524038418,0.0027752316126207193,0.6057362475309093
34,277,"('supply_flow', 'median_500')",9708.509600922773,0.0027694374585184593,0.6085056849894277
35,925,"('return_flow__return_temperature', 'std', 'pre_rinse')",9696.479721523356,0.0027660058299781697,0.6112716908194059
36,379,"('supply_flow', 'std', 'caustic')",9603.118829840007,0.002739373817319504,0.6140110646367254
37,187,"('supply_flow', 'median_200')",9444.91787122141,0.002694245607245918,0.6167053102439713
38,1049,"('supply_flow_*_return_turbidity', 'mean', 'pre_rinse')",9392.574340415917,0.002679314156293851,0.6193846244002652
39,541,"('return_flow', 'std', 'pre_rinse')",9113.641384086543,0.002599746085660184,0.6219843704859254
40,1023,"('supply_flow_*_return_conductivity', 'sum', 'caustic')",8320.707500525132,0.0023735547453277023,0.6243579252312531
41,182,"('supply_flow', 'mean_200')",8278.914888214704,0.002361633036354902,0.6267195582676081
42,305,"('return_flow', 'std_500')",8184.087104726297,0.002334582579951572,0.6290541408475596
43,93,"('supply_flow', 'max_50')",8004.804746881862,0.002283440715970854,0.6313375815635305
44,28,"('return_turbidity', 'min_10')",7810.785592770062,0.0022280950516872016,0.6335656766152177
45,865,"('return_flow__return_turbidity', 'sum', 'pre_rinse')",7773.203834815421,0.002217374525827428,0.635783051141045
46,893,"('object_residue', 'std', 'pre_rinse')",7686.672333875592,0.0021926906567377984,0.6379757417977828
47,373,"('supply_flow', 'max', 'pre_rinse')",7612.261936989195,0.0021714644388205985,0.6401472062366034
48,1155,"('conductivity_*_return_turbidity', 'median', 'caustic')",7353.638496050664,0.0020976898354645875,0.6422448960720679
49,275,"('supply_flow', 'std_500')",7162.428048553824,0.002043145379361099,0.644288041451429
50,121,"('return_turbidity', 'median_50')",7147.465834613136,0.0020388772766910695,0.6463269187281201
51,362,"('timestamp', 'count', 'acid')",7118.417567418076,0.0020305910038663087,0.6483575097319864
52,6,"('supply_flow', 'sum_10')",7081.639920263717,0.0020200998576603273,0.6503776095896466
53,1041,"('supply_flow_*_return_turbidity', 'min', 'pre_rinse')",6927.054564316552,0.0019760030299394386,0.652353612619586
54,1185,"('return_temperature_*_return_turbidity', 'sum', 'pre_rinse')",6714.93441050899,0.0019154938968377394,0.6542691065164238
55,297,"('return_turbidity', 'max_500')",6702.210878392432,0.0019118643977800356,0.6561809709142038
56,517,"('return_turbidity', 'median', 'pre_rinse')",6699.9564529322515,0.0019112213031575334,0.6580921922173614
57,1139,"('conductivity_*_return_turbidity', 'max', 'caustic')",6507.50863089672,0.0018563238751213252,0.6599485160924827
58,891,"('object_residue', 'std', 'caustic')",6385.702852328298,0.0018215777091599372,0.6617700938016426
59,851,"('return_flow__return_turbidity', 'max', 'caustic')",6383.919245106127,0.001821068919566538,0.6635911627212092
60,1045,"('supply_flow_*_return_turbidity', 'max', 'pre_rinse')",6305.151017146619,0.0017985995921394478,0.6653897623133487
61,867,"('return_flow__return_turbidity', 'median', 'caustic')",6234.39454272042,0.0017784156876305627,0.6671681780009793
62,120,"('return_turbidity', 'sum_50')",6179.454954079053,0.001762743688426428,0.6689309216894057
63,401,"('supply_pressure', 'min', 'pre_rinse')",6153.421780550129,0.0017553174974971571,0.6706862391869028
64,1051,"('supply_flow_*_return_turbidity', 'std', 'caustic')",6141.073006823378,0.0017517949015548938,0.6724380340884577
65,849,"('return_flow__return_turbidity', 'min', 'pre_rinse')",6138.819311955376,0.0017511520153402145,0.674189186103798
66,292,"('conductivity', 'min_500')",5962.383646329269,0.0017008221952659638,0.675890008299064
67,1189,"('return_temperature_*_return_turbidity', 'median', 'pre_rinse')",5811.372628931383,0.0016577449789452487,0.6775477532780092
68,701,"('tank_temperature_pre_rinse', 'std', 'pre_rinse')",5787.733571600771,0.0016510017306459177,0.6791987550086551
69,745,"('tank_temperature_caustic', 'skew', 'pre_rinse')",5734.441653414569,0.0016357997438809111,0.6808345547525361
70,1145,"('conductivity_*_return_turbidity', 'mean', 'pre_rinse')",5694.86100360458,0.0016245090165991594,0.6824590637691352
71,673,"('tank_level_clean_water', 'sum', 'pre_rinse')",5602.110674906602,0.001598051172383641,0.6840571149415189
72,381,"('supply_flow', 'std', 'pre_rinse')",5492.785129948291,0.0015668651024484872,0.6856239800439674
73,3,"('supply_flow', 'max_10')",5364.4595009377135,0.0015302590920021405,0.6871542391359695
